asset_id,license_pass,style_pass,scale_pass,material_pass,texture_pass,collision_pass,lod_pass,godot_import_pass,android_pass,approved,rejection_reason
bh_villa_wall_solid_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_wall_window_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_wall_door_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_corner_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_balcony_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_roof_edge_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_parapet_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_gate_pedestrian_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_gate_vehicle_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_boundary_wall_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_column_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_canopy_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_stair_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_garage_opening_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_ac_unit_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_water_tank_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_satellite_dish_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_villa_driveway_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_party_wall_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_timber_door_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_projecting_window_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_alley_arch_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_parapet_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_courtyard_hint_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_shop_bay_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_shade_canopy_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_roof_tank_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_ac_screen_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_vent_panel_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_traditional_lamp_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_bench_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_traditional_utility_cable_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_souq_shop_gold_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_souq_shop_spice_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_souq_shop_tailor_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_souq_shop_perfume_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_souq_shop_electronics_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_souq_shop_fabric_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_souq_shop_toy_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_souq_shop_grocery_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_souq_shop_cafe_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_souq_shop_bakery_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_souq_shop_souvenir_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_souq_awning_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_souq_display_table_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_souq_crate_set_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_souq_covered_passage_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_souq_delivery_door_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_souq_shutter_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_souq_sign_panel_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_waterfront_promenade_10m_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_waterfront_promenade_20m_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_waterfront_curve_15deg_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_waterfront_curve_30deg_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_waterfront_curve_45deg_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_waterfront_marina_edge_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_waterfront_railing_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_waterfront_bench_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_waterfront_palm_planter_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_waterfront_cafe_terrace_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_waterfront_water_stair_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_waterfront_hotel_dropoff_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_waterfront_tower_a_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_waterfront_tower_b_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_waterfront_tower_c_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_waterfront_skyline_silhouette_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Model and runtime evidence not yet produced
bh_quarantine_generic_buildings,false,not_reviewed,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Missing verified provenance
inherited_generic_skyscrapers,false,not_reviewed,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Missing verified provenance
inherited_generic_cars,false,not_reviewed,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Missing verified provenance
bh_quarantine_palms,false,not_reviewed,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Missing verified provenance
bh_quarantine_trees,false,not_reviewed,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Missing verified provenance
bh_quarantine_nature_props,false,not_reviewed,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Missing verified provenance
bh_quarantine_roads,false,not_reviewed,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Missing verified provenance
inherited_flexible_toon,false,not_reviewed,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Missing verified provenance
bh_road_two_lane_straight_20m_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Runtime evidence not yet produced
bh_kerb_standard_straight_4m_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Runtime evidence not yet produced
bh_prop_street_bollard_a_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Runtime evidence not yet produced
bh_prop_streetlamp_prom_a_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Runtime evidence not yet produced
bh_supermarket_storefront_a_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Runtime evidence not yet produced
bh_supermarket_shelf_1m_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Runtime evidence not yet produced
bh_cafe_storefront_karak_a_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Runtime evidence not yet produced
bh_cafe_table_chair_set_a_01,provisional_project_owned,true,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,not_tested,false,Runtime evidence not yet produced
bh_road_intersection_four_way_20m_01,pending,pending,pending,pending,pending,pending,pending,not_run,not_run,false,Runtime validation not yet available.
bh_road_intersection_t_20m_01,pending,pending,pending,pending,pending,pending,pending,not_run,not_run,false,Runtime validation not yet available.
bh_road_roundabout_compact_24m_01,pending,pending,pending,pending,pending,pending,pending,not_run,not_run,false,Runtime validation not yet available.
bh_road_crossing_zebra_8m_01,pending,pending,pending,pending,pending,pending,pending,not_run,not_run,false,Runtime validation not yet available.
bh_prop_traffic_signal_a_01,pending,pending,pending,pending,pending,pending,pending,not_run,not_run,false,Runtime validation not yet available.
bh_prop_crash_barrier_4m_01,pending,pending,pending,pending,pending,pending,pending,not_run,not_run,false,Runtime validation not yet available.
bh_prop_bus_shelter_a_01,pending,pending,pending,pending,pending,pending,pending,not_run,not_run,false,Runtime validation not yet available.
bh_road_highway_six_lane_straight_40m_01,true,pending,pending,pending,pending,pending,pending,false,false,false,"Not rejected; quarantined pending Blender generation, Godot 4.3 import and Android validation."
bh_road_highway_curve_40m_01,true,pending,pending,pending,pending,pending,pending,false,false,false,"Not rejected; quarantined pending Blender generation, Godot 4.3 import and Android validation."
bh_road_highway_slip_road_30m_01,true,pending,pending,pending,pending,pending,pending,false,false,false,"Not rejected; quarantined pending Blender generation, Godot 4.3 import and Android validation."
bh_road_highway_exit_40m_01,true,pending,pending,pending,pending,pending,pending,false,false,false,"Not rejected; quarantined pending Blender generation, Godot 4.3 import and Android validation."
bh_sidewalk_commercial_straight_4m_01,true,pending,pending,pending,pending,pending,pending,false,false,false,"Not rejected; quarantined pending Blender generation, Godot 4.3 import and Android validation."
bh_sidewalk_driveway_cut_4m_01,true,pending,pending,pending,pending,pending,pending,false,false,false,"Not rejected; quarantined pending Blender generation, Godot 4.3 import and Android validation."
bh_drainage_channel_straight_4m_01,true,pending,pending,pending,pending,pending,pending,false,false,false,"Not rejected; quarantined pending Blender generation, Godot 4.3 import and Android validation."
bh_prop_direction_sign_frame_a_01,true,pending,pending,pending,pending,pending,pending,false,false,false,"Not rejected; quarantined pending Blender generation, Godot 4.3 import and Android validation."
bh_prop_supermarket_checkout_a_01,true,pending,pending,pending,pending,pending,pending,false,false,false,"Not rejected; quarantined pending Blender generation, Godot 4.3 import and Android validation."
