asset_id,name,category,subcategory,district_usage,source_type,source,creator,license,license_url,source_url,source_revision,download_date,archive_sha256,original_format,processed_format,game_path,triangle_count,lod_count,material_count,max_texture_resolution,collision_type,android_test_status,integration_status,notes
bh_souq_shop_perfume_01,Shop Perfume,architecture,souq,manama|muharraq,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/souq/bh_souq_shop_perfume_01.glb,100-3500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_souq_shop_electronics_01,Shop Electronics,architecture,souq,manama|muharraq,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/souq/bh_souq_shop_electronics_01.glb,100-3500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_souq_shop_fabric_01,Shop Fabric,architecture,souq,manama|muharraq,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/souq/bh_souq_shop_fabric_01.glb,100-3500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_souq_shop_toy_01,Shop Toy,architecture,souq,manama|muharraq,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/souq/bh_souq_shop_toy_01.glb,100-3500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_souq_shop_grocery_01,Shop Grocery,architecture,souq,manama|muharraq,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/souq/bh_souq_shop_grocery_01.glb,100-3500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_souq_shop_cafe_01,Shop Cafe,architecture,souq,manama|muharraq,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/souq/bh_souq_shop_cafe_01.glb,100-3500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_souq_shop_bakery_01,Shop Bakery,architecture,souq,manama|muharraq,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/souq/bh_souq_shop_bakery_01.glb,100-3500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_souq_shop_souvenir_01,Shop Souvenir,architecture,souq,manama|muharraq,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/souq/bh_souq_shop_souvenir_01.glb,100-3500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_souq_awning_01,Awning,architecture,souq,manama|muharraq,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/souq/bh_souq_awning_01.glb,100-3500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_souq_display_table_01,Display Table,architecture,souq,manama|muharraq,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/souq/bh_souq_display_table_01.glb,100-3500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_souq_crate_set_01,Crate Set,architecture,souq,manama|muharraq,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/souq/bh_souq_crate_set_01.glb,100-3500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_souq_covered_passage_01,Covered Passage,architecture,souq,manama|muharraq,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/souq/bh_souq_covered_passage_01.glb,100-3500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_souq_delivery_door_01,Delivery Door,architecture,souq,manama|muharraq,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/souq/bh_souq_delivery_door_01.glb,100-3500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_souq_shutter_01,Shutter,architecture,souq,manama|muharraq,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/souq/bh_souq_shutter_01.glb,100-3500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_souq_sign_panel_01,Sign Panel,architecture,souq,manama|muharraq,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/souq/bh_souq_sign_panel_01.glb,100-3500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_waterfront_promenade_10m_01,Promenade 10M,architecture,waterfront,bahrain_bay|seef|coast,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/waterfront/bh_waterfront_promenade_10m_01.glb,100-1500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_waterfront_promenade_20m_01,Promenade 20M,architecture,waterfront,bahrain_bay|seef|coast,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/waterfront/bh_waterfront_promenade_20m_01.glb,100-1500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_waterfront_curve_15deg_01,Curve 15Deg,architecture,waterfront,bahrain_bay|seef|coast,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/waterfront/bh_waterfront_curve_15deg_01.glb,100-1500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_waterfront_curve_30deg_01,Curve 30Deg,architecture,waterfront,bahrain_bay|seef|coast,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/waterfront/bh_waterfront_curve_30deg_01.glb,100-1500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_waterfront_curve_45deg_01,Curve 45Deg,architecture,waterfront,bahrain_bay|seef|coast,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/waterfront/bh_waterfront_curve_45deg_01.glb,100-1500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_waterfront_marina_edge_01,Marina Edge,architecture,waterfront,bahrain_bay|seef|coast,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/waterfront/bh_waterfront_marina_edge_01.glb,100-1500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_waterfront_railing_01,Railing,architecture,waterfront,bahrain_bay|seef|coast,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/waterfront/bh_waterfront_railing_01.glb,100-1500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_waterfront_bench_01,Bench,architecture,waterfront,bahrain_bay|seef|coast,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/waterfront/bh_waterfront_bench_01.glb,100-1500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_waterfront_palm_planter_01,Palm Planter,architecture,waterfront,bahrain_bay|seef|coast,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/waterfront/bh_waterfront_palm_planter_01.glb,100-1500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_waterfront_cafe_terrace_01,Cafe Terrace,architecture,waterfront,bahrain_bay|seef|coast,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/waterfront/bh_waterfront_cafe_terrace_01.glb,100-1500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_waterfront_water_stair_01,Water Stair,architecture,waterfront,bahrain_bay|seef|coast,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/waterfront/bh_waterfront_water_stair_01.glb,100-1500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_waterfront_hotel_dropoff_01,Hotel Dropoff,architecture,waterfront,bahrain_bay|seef|coast,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/waterfront/bh_waterfront_hotel_dropoff_01.glb,100-1500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_waterfront_tower_a_01,Tower A,architecture,waterfront,bahrain_bay|seef|coast,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/waterfront/bh_waterfront_tower_a_01.glb,200-18000,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_waterfront_tower_b_01,Tower B,architecture,waterfront,bahrain_bay|seef|coast,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/waterfront/bh_waterfront_tower_b_01.glb,200-18000,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_waterfront_tower_c_01,Tower C,architecture,waterfront,bahrain_bay|seef|coast,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/waterfront/bh_waterfront_tower_c_01.glb,200-18000,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_waterfront_skyline_silhouette_01,Skyline Silhouette,architecture,waterfront,bahrain_bay|seef|coast,original_spec,Bahrain Brick asset repository,Muhamed Zanabal project / AI-assisted specification,PROJECT_OWNED_PENDING,,,local-initial,2026-07-13,,svg/spec,glb_pending,assets/environment/architecture/waterfront/bh_waterfront_skyline_silhouette_01.glb,100-1500,3,1-3,1024,box_or_prism,not_run,specified,Production model pending; technical concept and specification complete.
bh_quarantine_generic_buildings,Inherited generic buildings,third_party_quarantine,external_buildings,unassigned,inherited_unverified,MuhamedZanabal/brick-bahrain-open-world,unverified,QUARANTINED,,,00a6ccc50caa9b23a70398da6854218fa7f2ebde,,,glb/shader,,,,,,,,blocked,quarantined,"14 referenced item(s); do not copy until source, license and checksums are proven."
inherited_generic_skyscrapers,Inherited generic skyscrapers,third_party_quarantine,external_buildings,unassigned,inherited_unverified,MuhamedZanabal/brick-bahrain-open-world,unverified,QUARANTINED,,,00a6ccc50caa9b23a70398da6854218fa7f2ebde,,,glb/shader,,,,,,,,blocked,quarantined,"4 referenced item(s); do not copy until source, license and checksums are proven."
inherited_generic_cars,Inherited generic cars,third_party_quarantine,external_vehicles,unassigned,inherited_unverified,MuhamedZanabal/brick-bahrain-open-world,unverified,QUARANTINED,,,00a6ccc50caa9b23a70398da6854218fa7f2ebde,,,glb/shader,,,,,,,,blocked,quarantined,"10 referenced item(s); do not copy until source, license and checksums are proven."
bh_quarantine_palms,Inherited palm meshes,third_party_quarantine,external_nature,unassigned,inherited_unverified,MuhamedZanabal/brick-bahrain-open-world,unverified,QUARANTINED,,,00a6ccc50caa9b23a70398da6854218fa7f2ebde,,,glb/shader,,,,,,,,blocked,quarantined,"6 referenced item(s); do not copy until source, license and checksums are proven."
bh_quarantine_trees,Inherited tree meshes,third_party_quarantine,external_nature,unassigned,inherited_unverified,MuhamedZanabal/brick-bahrain-open-world,unverified,QUARANTINED,,,00a6ccc50caa9b23a70398da6854218fa7f2ebde,,,glb/shader,,,,,,,,blocked,quarantined,"4 referenced item(s); do not copy until source, license and checksums are proven."
bh_quarantine_nature_props,Inherited nature props,third_party_quarantine,external_nature,unassigned,inherited_unverified,MuhamedZanabal/brick-bahrain-open-world,unverified,QUARANTINED,,,00a6ccc50caa9b23a70398da6854218fa7f2ebde,,,glb/shader,,,,,,,,blocked,quarantined,"4 referenced item(s); do not copy until source, license and checksums are proven."
bh_quarantine_roads,Inherited road modules,third_party_quarantine,external_roads,unassigned,inherited_unverified,MuhamedZanabal/brick-bahrain-open-world,unverified,QUARANTINED,,,00a6ccc50caa9b23a70398da6854218fa7f2ebde,,,glb/shader,,,,,,,,blocked,quarantined,"3 referenced item(s); do not copy until source, license and checksums are proven."
inherited_flexible_toon,Inherited Flexible Toon Shader port,third_party_quarantine,external_shader,unassigned,inherited_unverified,MuhamedZanabal/brick-bahrain-open-world,unverified,QUARANTINED,,,00a6ccc50caa9b23a70398da6854218fa7f2ebde,,,glb/shader,,,,,,,,blocked,quarantined,"1 referenced item(s); do not copy until source, license and checksums are proven."
